name,opening_hours,price_level,id,scope,rating,types,plus_code,user_ratings_total,vicinity,place_id,business_status,geometry,photos,reference,icon
Sam's Club Bakery,{'open_now': False},2,c3bd743116e3b9936fb729ec9481f57e34ec9e53,GOOGLE,3.3,"['bakery', 'food', 'point_of_interest', 'store', 'establishment']","{'compound_code': '26RP+H4 Topeka, KS, United States', 'global_code': '86F626RP+H4'}",4,"1401 Southwest Wanamaker Road, Topeka",ChIJb1h6Gxv9vocRxIzovP0hxg4,OPERATIONAL,"{'location': {'lat': 39.0414988, 'lng': -95.76462509999999}, 'viewport': {'northeast': {'lat': 39.0428499302915, 'lng': -95.76291686970848}, 'southwest': {'lat': 39.0401519697085, 'lng': -95.7656148302915}}}","[{'height': 400, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114907077716899858252"">Sam&#39;s Club Bakery</a>'], 'photo_reference': 'CmRaAAAAnkt0Nlms5vejFw_WuqA-VL7TNLj9TUpWIMMpjtg-6cgIDmuhK-LuTKp-XM-LFyYauzSNdcPMVm-Z1SGHruni8aO3HZi-IDmEvKf9pmSh6Ix8QW4bzbkePuQm54fVpn8uEhAnI2cJ3GiL83245LkvwQqxGhStmr5FCoWjRa_Kr7rkS1I2uW2FRA', 'width': 400}]",ChIJb1h6Gxv9vocRxIzovP0hxg4,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
Walmart Bakery,{'open_now': False},1,4f553c0fec33e74e6e5d3522f8e81974502153fb,GOOGLE,4,"['bakery', 'food', 'point_of_interest', 'store', 'establishment']","{'compound_code': '26QP+W5 Topeka, KS, United States', 'global_code': '86F626QP+W5'}",2,"1501 Southwest Wanamaker Road, Topeka",ChIJM9WUdBr9vocRCaymRqd8g9Y,OPERATIONAL,"{'location': {'lat': 39.03981880000001, 'lng': -95.7645465}, 'viewport': {'northeast': {'lat': 39.0411639302915, 'lng': -95.7628483197085}, 'southwest': {'lat': 39.0384659697085, 'lng': -95.7655462802915}}}","[{'height': 608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113226231429993465259"">Walmart Bakery</a>'], 'photo_reference': 'CmRaAAAAC0p0Lc9vos7cvUb5D1PW8906hs4vkHXvC9cuOHjSeNbx2iux1bBVwEAu5HGfGjn-BQwomTPYJzPSxFQ95t4RD1EeZqAn-TxS7iqlk6G5kmHvEm0VP8aXT4Er15afLbhQEhAVIjgY9i3owQjY-OyyW9iFGhTPv1RoVfqRT_29ivjo-C_6J1YMxw', 'width': 1080}]",ChIJM9WUdBr9vocRCaymRqd8g9Y,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
Le Petit Bon Bon,{'open_now': False},2,44eca3c787b3ae80cd925891dbc8ef5f7a1b39fc,GOOGLE,4.3,"['bakery', 'cafe', 'food', 'point_of_interest', 'store', 'establishment']","{'compound_code': '3734+8G Topeka, KS, United States', 'global_code': '86F63734+8G'}",54,"835 Southwest Fairlawn Road, Topeka",ChIJvw3HNHb9vocR7zBUarmlRDo,OPERATIONAL,"{'location': {'lat': 39.05325430000001, 'lng': -95.74371049999999}, 'viewport': {'northeast': {'lat': 39.05463708029151, 'lng': -95.74233666970848}, 'southwest': {'lat': 39.05193911970851, 'lng': -95.7450346302915}}}","[{'height': 637, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100950996331741092288"">Le Petit Bon Bon</a>'], 'photo_reference': 'CmRaAAAAWewhmSci8CAL4UVwttWO4N8tK94DWSprfT1o5_0BWXE3vU6XPr4ROb2HE-ID-hkmGrx5ZcBnPsRc-jrSzfQuyoPwB_jHfsz2kSxoRls8vMfacKIO-_6-bxN1dqa2HcRgEhAipfIfnKLnIbp63TyknBI9GhTD23-FxeGW8GAZmjNV3_PNsu83xQ', 'width': 960}]",ChIJvw3HNHb9vocR7zBUarmlRDo,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
Dunkin',{'open_now': False},1,d8c05616ef945f6cf234826768c02ef5205751b5,GOOGLE,3.7,"['bakery', 'meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","{'compound_code': '27HF+M6 Topeka, KS, United States', 'global_code': '86F627HF+M6'}",566,"4009 Southwest 21st Street, Topeka",ChIJxaK-0KYCv4cRmGHkCCy6qNI,OPERATIONAL,"{'location': {'lat': 39.0291848, 'lng': -95.7269628}, 'viewport': {'northeast': {'lat': 39.0306807802915, 'lng': -95.72561306970849}, 'southwest': {'lat': 39.02798281970851, 'lng': -95.72831103029151}}}","[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115413944037180503699"">Josh</a>'], 'photo_reference': 'CmRaAAAA98mymP3gFt6K0PBzN91PAwTpEDdVw_ssMCRMmMWVfgiSuVvXGy4Hq7JpqjudFsPDgrYM3puTNVE3fe4HS2bBxA2B0BdUAnBGlEsq2zIP1iInKNOBSBO2cCsj3RRaliYxEhDa8mD4FawlXKxr3LCP6CmpGhS4BowVMDXxgXRhQ-yfM9lXFzYF1g', 'width': 1920}]",ChIJxaK-0KYCv4cRmGHkCCy6qNI,https://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png
Josey Baking Co.,{'open_now': False},,5fb86fccdec86d4e727d56535e79bbe1205bdf14,GOOGLE,4.8,"['bakery', 'food', 'point_of_interest', 'store', 'establishment']","{'compound_code': '27VM+GF Topeka, KS, United States', 'global_code': '86F627VM+GF'}",245,"3119 Southwest Huntoon Street, Topeka",ChIJYaAuu5ECv4cRgfIWFcwFCyA,OPERATIONAL,"{'location': {'lat': 39.04379429999999, 'lng': -95.7162539}, 'viewport': {'northeast': {'lat': 39.0452551302915, 'lng': -95.71490651970849}, 'southwest': {'lat': 39.0425571697085, 'lng': -95.71760448029151}}}","[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111221736281472815581"">Natalie Hogan</a>'], 'photo_reference': 'CmRaAAAAa4npykIkDzu7eosKEUZQxLUmWW_U8ZsGLqy7PslCU6lT9H-atXwnvRi6Ahub7w9S5EsJ2ZJrwgoIamWzwrC7sxNWDWcAkdP2_LHdhhjA31rAsC2juwySH531rl6zaWpeEhCYWS2kl5m5uaZkS5zvjSDPGhQr7tuJAT7hjwOdZXQdQ3LfhhLY2A', 'width': 3024}]",ChIJYaAuu5ECv4cRgfIWFcwFCyA,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
Walmart Bakery,{'open_now': False},1,ac0258d7543db56268556a8b7d9fcd5895e8007a,GOOGLE,5,"['bakery', 'food', 'point_of_interest', 'store', 'establishment']","{'compound_code': 'X8X4+G7 Topeka, KS, United States', 'global_code': '86C6X8X4+G7'}",1,"1301 Southwest 37th Street, Topeka",ChIJvW4QDSQdv4cRZZRcJ0l_lQE,OPERATIONAL,"{'location': {'lat': 38.9988477, 'lng': -95.69435460000001}, 'viewport': {'northeast': {'lat': 39.0002719302915, 'lng': -95.6928255697085}, 'southwest': {'lat': 38.9975739697085, 'lng': -95.69552353029151}}}","[{'height': 608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105822420185168323299"">Walmart Bakery</a>'], 'photo_reference': 'CmRaAAAADFDEMuD9sSe4AXowm9gV2MvKxwhO5tqZ-ELnbjPyiTFDK6W_ZJAtxjj1fFlg5CTyvDScNtzld8tGi_Hef9XxHAptMzhOmx13oZP4MgEnVb_R9xhb1SFz5havla3HdcWUEhC3ViuPobxC8qe91h1_FTcmGhQaOqUTKW36fcmZVv6j8_qgYQ8Q4Q', 'width': 1080}]",ChIJvW4QDSQdv4cRZZRcJ0l_lQE,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
Daylight Donuts,{'open_now': False},1,1c79d04a5c068931c227b1cad17d4a60097d2355,GOOGLE,4.4,"['bakery', 'food', 'point_of_interest', 'store', 'establishment']","{'compound_code': '28WG+54 Topeka, KS, United States', 'global_code': '86F628WG+54'}",90,"1001 Southeast Quincy Street, Topeka",ChIJ6b-yrhEDv4cR7useCDcQADI,OPERATIONAL,"{'location': {'lat': 39.0454427, 'lng': -95.67469539999999}, 'viewport': {'northeast': {'lat': 39.04675278029149, 'lng': -95.67320146970849}, 'southwest': {'lat': 39.04405481970849, 'lng': -95.6758994302915}}}","[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115167408990251356248"">Ram P</a>'], 'photo_reference': 'CmRaAAAAlInRGVfqCHK3k3OXffJr_Bocox_mB3EuIr1LpmR85_j6_zxOZjqEn5toIFua_FuFFk4bS6qBZ9yVKEOyWl8BP5q8VbafvCd_MkF6dtlkEtJx8o4NuO5PsJPPfsvZ-wM6EhCKE-3KfX9TyH79lo_-r14fGhT74Lys-_iZNQzn_Kcb4ZIDJzIQnA', 'width': 4160}]",ChIJ6b-yrhEDv4cR7useCDcQADI,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
Walmart Bakery,{'open_now': False},1,a10260245e48c477a11276e44e0dcc1119a43a78,GOOGLE,,"['bakery', 'food', 'point_of_interest', 'store', 'establishment']","{'compound_code': '38VH+F7 Topeka, KS, United States', 'global_code': '86F638VH+F7'}",,"2600 Northwest Rochester Road, Topeka",ChIJzwhE5tsDv4cRhkVSnw_RB_w,OPERATIONAL,"{'location': {'lat': 39.0936964, 'lng': -95.6717619}, 'viewport': {'northeast': {'lat': 39.0947939802915, 'lng': -95.6704133197085}, 'southwest': {'lat': 39.0920960197085, 'lng': -95.67311128029151}}}","[{'height': 608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115245927491325016490"">Walmart Bakery</a>'], 'photo_reference': 'CmRaAAAAShaE-kw4yyZJuqpDiW61o516W8RwE3gjAVKu8ntViAXLs4ttZ0800xQ_mGvP9VXEih1uidVsxNG9BFAStPAtOSr6tiukz6gPu1ggO0cxc9du9SF5eSgzjRZLw3ia0g7AEhD_dtPmaS0zUceJxL2swJrzGhQZnKRd5yiOpkI4JJQMi_NO5p7cQA', 'width': 1080}]",ChIJzwhE5tsDv4cRhkVSnw_RB_w,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
Walmart Bakery,{'open_now': False},1,5f1000cffd28c7fce9b9a1b8ce76951fa5183442,GOOGLE,4.5,"['bakery', 'food', 'point_of_interest', 'store', 'establishment']","{'compound_code': '29C2+6H Topeka, KS, United States', 'global_code': '86F629C2+6H'}",2,"2630 Southeast California Avenue, Topeka",ChIJ6V8VfFMDv4cRHC4OOOn6eUU,OPERATIONAL,"{'location': {'lat': 39.0205912, 'lng': -95.6485077}, 'viewport': {'northeast': {'lat': 39.0219432802915, 'lng': -95.6473860697085}, 'southwest': {'lat': 39.0192453197085, 'lng': -95.65008403029151}}}","[{'height': 608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116173129979539170699"">Walmart Bakery</a>'], 'photo_reference': 'CmRaAAAAYPBw6n62DjIOrz6Z5tX8o9uJSDwkKL1gzbJC4HXTsy-ALcJPWfnyroX1s3_cwFF-h5JD3I1FUQXwINb1LqZRu7JR6azz5_H6aMNzUS3qbuGhadFKeopHCoNeJlVGG1bGEhD8KD-2m8o99nYeDrYuCQ7-GhQ2XXXABzFl6A-QSvGHZWZ5km9PNg', 'width': 1080}]",ChIJ6V8VfFMDv4cRHC4OOOn6eUU,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
Baskin-Robbins,{'open_now': True},1,61bed32fc448c14b3084993e34208760013397f8,GOOGLE,3.9,"['bakery', 'food', 'point_of_interest', 'store', 'establishment']","{'compound_code': '3W43+XJ Paxico, KS, United States', 'global_code': '86F53W43+XJ'}",75,"18094 Southwest Vera Frontage Road, Paxico",ChIJvSYvyuyMvocRdqsqskfFhfg,OPERATIONAL,"{'location': {'lat': 39.0574283, 'lng': -96.09593799999999}, 'viewport': {'northeast': {'lat': 39.05898458029149, 'lng': -96.09450391970849}, 'southwest': {'lat': 39.05628661970849, 'lng': -96.0972018802915}}}","[{'height': 768, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106575295698392312100"">Tom Kutz</a>'], 'photo_reference': 'CmRaAAAAIb1UL06PZWSnYR1U2GvO2W1uUODaf-NBpmgCV4bGQo0fsPwFVCoH01lZ-lw--1qTlQdozVMVI2pZl0YY9nKKXc5GyT6vlbw3ns5d5-Hia16N6u89sb8UbSA5q78IzhydEhAcukU-l7QUomMrvYTwrEy9GhSGAoMZaP8Ra1kAyhpHFRvG9sYfSQ', 'width': 1024}]",ChIJvSYvyuyMvocRdqsqskfFhfg,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png
Baskin-Robbins,{'open_now': True},1,a1200628ba51783fb06778f93fefb5bdbcbea1a2,GOOGLE,4.6,"['bakery', 'food', 'point_of_interest', 'store', 'establishment']","{'compound_code': '288X+54 Topeka, KS, United States', 'global_code': '86F6288X+54'}",135,"2837 Southeast California Avenue, Topeka",ChIJKSrJmawcv4cRrRTuSsnF4qg,OPERATIONAL,"{'location': {'lat': 39.015386, 'lng': -95.6521262}, 'viewport': {'northeast': {'lat': 39.0167292302915, 'lng': -95.65054136970849}, 'southwest': {'lat': 39.0140312697085, 'lng': -95.65323933029151}}}","[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111131626740753012570"">Melissa Fitzpatrick</a>'], 'photo_reference': 'CmRaAAAAvugKCWnPdr1E1b9ffSLAQXAz8G88TANtDusP3WatXaH8Mom9wkn0Oe7-aTWsyuPpQOIigjgcnhcv0J4dY3vnX7YlaldagR5dzMnJUxEbmr9nUtYcGJVQOkF6S7n-6r35EhCMZTGyUPlpP_9knZE3Tkv5GhSikGb7VtVTLga73OzMg-8EyUTrRw', 'width': 3024}]",ChIJKSrJmawcv4cRrRTuSsnF4qg,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png
Baskin-Robbins,{'open_now': True},1,62d5a238094327872f2823967f1108efb4777dc5,GOOGLE,4.5,"['bakery', 'food', 'point_of_interest', 'store', 'establishment']","{'compound_code': '27J9+2P Topeka, KS, United States', 'global_code': '86F627J9+2P'}",319,"4400 Southwest 21st Street, Topeka",ChIJQ7UXqWnAkIgR316ZVD1ki4c,OPERATIONAL,"{'location': {'lat': 39.0300252, 'lng': -95.7306572}, 'viewport': {'northeast': {'lat': 39.0310882302915, 'lng': -95.72930201970848}, 'southwest': {'lat': 39.0283902697085, 'lng': -95.73199998029149}}}","[{'height': 2934, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111901203152566447462"">funny girl</a>'], 'photo_reference': 'CmRaAAAAtk6N_pQqYDY_2kB2mIjS_crV7fJaqK-BYVkD5tQU2GVAQr9x_I-7Ct5XytRCC6Xy-RVA1EeqCjvG_qMFOks_yzVyJ7S1Tjh0vvrxfCrb2LFTK_hBTmNR345ncZXRXfOEEhBTs6wnj_EiRGQahhCqLZAFGhQhTcIP-Z87t7gEigEE-JLQev6NWQ', 'width': 5216}]",ChIJQ7UXqWnAkIgR316ZVD1ki4c,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png
Wheatfields Bakery Cafe,{'open_now': False},2,4e6dd9e05eada2af24b3a4276222dc06d22047fa,GOOGLE,4.7,"['bakery', 'meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","{'compound_code': 'XQ87+W6 Lawrence, KS, United States', 'global_code': '86C6XQ87+W6'}",880,"904 Vermont Street, Lawrence",ChIJOeGYLltvv4cRFQXi4Obzqpw,OPERATIONAL,"{'location': {'lat': 38.9673685, 'lng': -95.2369192}, 'viewport': {'northeast': {'lat': 38.9687169302915, 'lng': -95.23566171970849}, 'southwest': {'lat': 38.9660189697085, 'lng': -95.23835968029151}}}","[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115413696709061034050"">Wheatfields Bakery Cafe</a>'], 'photo_reference': 'CmRaAAAAFekt9G2wDQFXAZ8s5neDYabx3bHXAyAeOP4oXC3qtW-mqwxCNtE7cRjVocoV_HNtllF2PtML5kYAQW70MUupH1UrGCuDKxtaGt_zAl0cDJ5k2HAEJWXMCUT-ZewtjeeTEhBz5SD-_H-YfSskm1UQhFAqGhR5RcxIyHcxiZv43ZvaYFEzqJwBQw', 'width': 4032}]",ChIJOeGYLltvv4cRFQXi4Obzqpw,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
